post_id,musician_screen_name,post_created_at,musician_post,musician_post_hashtags,musician_post_mentions,musician_post_favorite_count,musician_post_retweet_count
1096289524244770821,ChrisBlaze4,Fri Feb 15 06:06:05 +0000 2019,@SiirBrock yooo bro! This is one of my all time favorite monents https://t.co/HaJrQgERi3,#,@SiirBrock@,0,0
1095833987107512320,ChrisBlaze4,Wed Feb 13 23:55:56 +0000 2019,@SiirBrock Wazz good,#,@SiirBrock@,1,0
1081001098238922753,ChrisBlaze4,Fri Jan 04 01:35:20 +0000 2019,@sabullockfans Love you Sandra B,#,@sabullockfans@,0,0
1079450824974180352,ChrisBlaze4,Sun Dec 30 18:55:06 +0000 2018,@ChristianKeyes Way to bring truth to the screen on DC legends bro!!! Keep pushing man! You are phenomenal man! I p… https://t.co/bZxXS8WfBX,#,@ChristianKeyes@,0,0
1077651531695038464,ChrisBlaze4,Tue Dec 25 19:45:21 +0000 2018,@OMAROSA Merry Christmas my Howard sister!,#,@OMAROSA@,1,0
1077359226450833408,ChrisBlaze4,Tue Dec 25 00:23:50 +0000 2018,@sabullockfans You were absolutely phenomenal in Bird Box!!!! It’s all the rage here in DC! Excellent Job! Big hug,#,@sabullockfans@,0,0
1075933952723087366,ChrisBlaze4,Fri Dec 21 02:00:18 +0000 2018,@syhuncho https://t.co/HGwCYNohoZ,#,@syhuncho@,0,0
1074361075930488832,ChrisBlaze4,Sun Dec 16 17:50:15 +0000 2018,@Myahchanel Welcome to the family!!!! HHHHUUUUU UUUUUU KNOWWWWW!!!,#,@Myahchanel@,0,0
1073681675056545793,ChrisBlaze4,Fri Dec 14 20:50:34 +0000 2018,"It saddens me to learn of the passing of legendary jazz songstress Nancy Wilson. 
What a true musical gem she was!… https://t.co/o1mObpY8k2",#,@,5,0
1119284523609591808,common,Fri Apr 19 17:00:00 +0000 2019,"This is a dream come true! Give it, live it, RESPECT! Loved working with @sesamestreet to rap about how… https://t.co/Asyli8AWNu",#,@sesamestreet@,382,94
1119272627712024576,common,Fri Apr 19 16:12:44 +0000 2019,"""Our lives begin to end the day we become silent about what matters"" Dr. Martin Luther King Jr. https://t.co/ew6kyjYW9g",#,@,691,211
1119270506262343680,common,Fri Apr 19 16:04:18 +0000 2019,I’ve finally collaborated with some musicians that I’ve always dreamed of working with!   New music and video at 12… https://t.co/CG3kHLYAkj,#,@,326,54
1119026110229045248,common,Thu Apr 18 23:53:09 +0000 2019,Exciting! I’m looking forward to @CityYearChicago’s Ripples of Hope Awards Dinner! One of the honorees is my favori… https://t.co/e1O3yrXpU1,#,@CityYearChicago@,232,38
1119007512198434817,common,Thu Apr 18 22:39:15 +0000 2019,"Your truth, your word and your love is greater than any amount of money #LetLove",#LetLove#,@,1133,309
1119007342979194880,common,Thu Apr 18 22:38:35 +0000 2019,"“What a person desires is unfailing love 
better to be poor than a liar.” Proverbs 19:22",#,@,2142,486
1118989433766842379,common,Thu Apr 18 21:27:25 +0000 2019,RT @sandscriiptmed1: @common @BrooklynNets @NBA Ladies n Gentlemen can someone get 2 tickets for Scott McKnight former Nets player...,#,@sandscriiptmed1@common@BrooklynNets@NBA@,0,6
1118987892905390085,common,Thu Apr 18 21:21:18 +0000 2019,"Can someone tell the @BrooklynNets that me, a former player, need 2 court side seats for tonight’s game.   @NBA… https://t.co/8DUxnspptO",#,@BrooklynNets@NBA@,1286,216
1118716532966584322,common,Thu Apr 18 03:23:00 +0000 2019,"“This program saved my life. I always thought I’d be a statistic, either dead or in jail. They actually care; they… https://t.co/huPQMDQTBR",#,@,329,62
1118707062299480064,common,Thu Apr 18 02:45:22 +0000 2019,"Join me in supporting these three Black Churches that were burned down recently in Louisiana. Together, we can make… https://t.co/19GXO7oSNF",#,@,2163,766
1118700503897010177,common,Thu Apr 18 02:19:19 +0000 2019,I'm excited to have you all as a cohost on this. It's going to be a special night! https://t.co/hoZlNqMI3r,#,@,190,25
1118547909237063680,common,Wed Apr 17 16:12:57 +0000 2019,"Our dialogue on mass incarceration must include women, the fastest growing prison population. https://t.co/jrKKQk0Ek2",#,@,746,274
1118546979951218688,common,Wed Apr 17 16:09:16 +0000 2019,We recently met with CA Governor @GavinNewsom to discuss ways we can bring more meaningful change to our criminal j… https://t.co/0wlM0u1xSZ,#,@GavinNewsom@,530,75
1118546368681762816,common,Wed Apr 17 16:06:50 +0000 2019,“Our lives begin to end the day we become silent about what matters” Dr. Martin Luther King Jr. https://t.co/xYbkDkoO2o,#,@,3930,1133
1118485979436707841,common,Wed Apr 17 12:06:52 +0000 2019,"“Those who are kind benefit themselves, but the cruel bring ruin on themselves” Proverbs 11:17",#,@,2520,782
1118248874571857921,common,Tue Apr 16 20:24:42 +0000 2019,"It's official! I'm thrilled to announce that I'll be celebrating the release of my upcoming book, Let Love Have The… https://t.co/mptemPQGPD",#,@,1140,216
